"lay ,v","# to put someone or something in a particular position, especially what is done gently or carefully. "
"lay ,e","# lays, laid, laid, laying. "
"cry ,e","# cries, cried, cried, crying."
"try ,e","# tries, tried, tried, trying."
sit up,"# to be or move yourself in a sitting position, rather than lying down or leaning back"
"lean ,v","# to bend or move from a vertical position. 
- I leaned back in my chair. 
- The tower is leaned dangerously. 
- I man was leaning out of the window. "
,
Lesson 9,# form 49 to 54
,
copycat,"# ( informal, disapproving ) used especially by children about and to a person who copies what somebody else does because they have no ideas of their own."
clone,"# 1. to produce an exact copy of an animal or a plant from its cells.
- Dolly , the cloned sheep.
- Dad said, ""Why do not you clone him? They will make a new brand Pirate for you.""
# 2. to illegally make an electronic copy of stored information form a person's credit card ?"
horn,"# 5. a device in a vehicle for making a loud sound as a warning or signal.
- To honk your car horn.
- They honked their horns at each other."
honk,"# if a car horn, honks or you honk, or honk the horn, the horn makes a loud noise.
- They used their horn to talk. Honk! Honk!"
pistol,"# a small gun that you can hold and fire with one hand.
- An automatic pistol."
water pistol,"# ( North American ) water pistol, squirt pistol. A toy gun that shoots water"
air pistol,# a small gun that used air pressure to fire small metal balls ( also called pellets )
"Offer ,v,n","# verb. To say that you are willing to do something of somebody or give something to somebody.
- He offered some useful advice.
- Don offered it ( the pistol ) to his brother Tony."
"trigger ,n","# the part of a gun that you press it order to fire it.
- To pull / squeeze the trigger. 
- The pistol has a silver trigger.
- He aimed the pistol at the bird. He pulled the trigger."
"aim ,v","# 1. to try or plan to achieve something.
- He has already aimed high. (= tried to achieve a lot )
# 3. to point or direct a weapon, a shot, a kick, etc at someone or something.
- I was aiming at the tree but hit the car by mistake. "
"loaded ,adj","# 6 { gun, camera } containing ball, film, etc
- A loading shotgun.
- He said, ""If the gun was loaded, I wound have killed the bird."""
ambition,"# adjective. Something that you want to do or achieve very much.
# a strong desire to achieve something. 
- She had always had an ambition to be a pilot.
- I am a happy, lazy dog. ""But do not you have any ambition?"" asked the fox.
- ""Ambition? Ambition to do what? I am just a dog."" said the dog."
