English for ,Intermediate Learners 2,
dedicate,"# 1. to give a lot of your time and effort to a particular activity or purpose because you think it is important | synonym: devote
– > she dedicates herself to her work.
– > He dedicated his life to helping the poor.",
dedicated,"# adjective: working hard at something because is is very important to you | synonym: committed 
– > a dedicated teacher
– > The speaker will be James Carter, the director of a nonprofit organization dedicated to making the golden years fun and interesting. ",
statewide,"# happening or existing in all parts of a state of the US 
– > a statewide election 
– > Carter will identify the services and activities that are available to seniors locally and statewide. ",
nominal,"# 1. being something in name only, not in reality 
– > the nominal leader of a party
# 2. ( of a sum of money ) very small and much less that the normal cost or charge | synonym: token
– > We only pay a nominal rent.
– > Testing for diabetes and cataracts is offered four times a year for a nominal fee.",
bound,"# adjective: certain or likely to happen, or to do or be something ( in thesaurus: certain, bound, sure, definite, guaranteed 
– > It is bound to be sunny tomorrow.
# 3. ( in compounds ) prevented form going somewhere or from working normally by the conditions mentioned 
– > Strikebound travelers face long delays 
– > fogbound airports
– > Volunteers deliver these meals to seniors who are homebound because of illness or injury.",
typewriter,"# a machine that produces witting similar to print
– > an electronic typewriter",
typist,"# 2. a person who uses a typewriter or computer keyword 
– > I am a pretty fast typist.",
bingo ,"# a game in which each players has a card with numbers on it. ….
– > New activities at the Senior Center include Bingo on Friday and Saturday nights …",
Alzheimer,"# a serious disease, especially affecting older people, that prevents that brain from functioning normally and causes the loss of memory, …
– > An active mind helps prevent Alzheimer’s and an active body helps prevent osteoporosis.",
osteoporosis,"# ( medical ) a condition in which the bones become weak and are easily broken, usually when people get older or because they do not eat enough or certain substances ",
osteo-,# prefix: ( in nouns and adjective ) connected with bones ,
,,
lesson,# 35. Agencies Get Millions for Homeless,
,,
urban,"# usually before noun. adjective. 1. connected with a town or city
– > damage to both urban and rural environment 
– > urban life
– > urban development 
– > The Federal Department of Housing and Urban Development has awarded $5 million to three …",
distribute,"# verb. AW. to give things to a large number of people; to share something between a number of people 
– > The newspaper is distributed free.
– > The organization distributed food to the earthquake victims.
– > The money will be distributed over a four year period and is aimed to helping approximately 1000 homeless people.",
aim,"# verb. to try or plan to achieve something
– > He has always aimed hight( = tried to achieve a lot).
# noun. the purpose of doing something; what someone is trying to achieve
– > the aims of the lesson
– > Bob’s one aim in life is to earn a lot of money.",
headquarter,"# abbreviation: HQ. a place from which an organization or a military operation is controlled; the people who works there
– > The firm’s headquarters are / is in New York.
– > Several companies have their headquarters in the area. 
– > One agency with headquarters in Woodbridge, is slated to receive $1.5 million.",
slate,"# noun. a type of dark gray stone that splits easily into thing flat layers
– > a slate quarry 
# verb. usually passive. to plan that something will happen at a particular time in the future
– > The next conference is slated for July. ",
electrician,"# a person whose job is to connect, repair, etc. electrical equipment 
– > We teach them how to be auto mechanic, plumbers, landscapers, painters, carpenters, bricklayers, electricians, and air-conditioning repairman. ",
holy,"# connected with God or a particular religion
– > holy ground
# 3. informal. used to emphasize that you are surprise, afraid, etc
– > Holy cow! What was that?
– > Holy cow! He is doing better than I am.",
,,
lesson,# 36. Tenants Watch Building Burn,
,,
extinguish,"# ( formal ) to make a fire stop burning or a light stop shining | synonym: put out
– > Firefighters tried to extinguish the flames
– > ( formal ) All lights has been extinguished. 
– > A 20-unit apartment building burned for about an hour before firemen were able to extinguish it.",
attic,"# a room or space just below the roof of a house often used for storing things
– > an attic bedroom
– > The fire started in the attic at about 10:30 p.m.  yesterday evening. ",
tenant,"# a person who pays rest for the use of a room, building, land, etc to the parson who owns it
– > tenants farmers (= ones who do not owns their own farms )
– > The tenant who first saw the blaze banged loudly on the door of every unit in the building.",
blaze,"# noun. a very large fire, especially a dangerous one
– > Five people died in the blaze.
# verb. to burn brightly and strongly
– > A huge fire was blazing in the fireplace",
bang,"# to hit something in a way that makes a loud noise
– > She banged on the door angrily.",
hit thesaurus,"# These words all mean to come against something with a lot of force
# hit: to come against something with force, especially casing damage or injury
– > The boy was hit be a speeding car.
# knock: to hit something so that it moves or breaks; to put someone or something into a particular state or position by hitting them/it
– > Someone has knocked a hole in the wall.
# bang: to hit something in a way that makes a loud noise
– > The baby was banging the table with his spoon
# strike: ( formal ) to hit someone or something hard
– > The ship struck a rock.
# bump: to hit someone or something accidentally
– > In the darkness I bumped into a chair.
# bash: ( informal ) to this something very hard
– > I braked too late and bashed into the car in front of me.",
occupant,"# noun. AW. 1.  a person who lives or works in a particular house, room, building, etc
– > All outstanding bills will be paid by the previous occupants.
– > Occupants of 15 units were already in bed ore preparing for bed.
# 2. a person who is in a vehicle, seat, etc at a particular time
– > The car was badly damaged but the occupants was unhurt.",
disturb,"# in interrupt someone whey they are trying to work, sleep, etc
– > I am sorry to disturb you, but can I talk to you for a moment? 
# 2. to move something or change in position
– > Some of pets were so disturbed by the noise, crowds, flames, and smoke that their owners could not hold on to them.
# 3. to make someone worry
– > The latter shocked and disturbed me.",
claw,"# verb. to scratch or tear someone/ something with claws or with nails
– > They clawed their way out of their owners’ arm and dashed away.
# noun. one of the sharp, curved nails on the end of an animal’s or a bird’s foot",
dash,"# verb. { go quickly } to go something very quickly | synonym: rush
– > I have to dash (= leave quickly ), I am late.",
frighten,"# verb: to make someone suddenly feel afraid 
– > Sorry, I did not mean to frighten you.
– > She does not frighten easily.
– > They younger children were similarly frightened.",
ablaze,"# ( not before noun ) 1. burning quickly and suddenly
– > The whole building was soon ablaze.
– > Two fire engines arrived at 10:45 p.m, but the entire roof was ablaze by then.",
seep,"# ( especially of liquid ) to flow slowly and in small quantities through something or into something | synonym: trickle 
– > Blood was beginning to seep through the bandages. 
– > Water seeped from a crack in the pipe.
– > Water was seeping into the ground-floor units, ruining most of them.",
speechless,"# not able to speak especially because your extremely angry or surprise
– > The tenants were crying or speechless.",
char,# verb. ( rr ) to become black by burning, to make something black by burning
charred,"# burned and black
– > the charred remains of a burned-out car
– > Firemen discovered a charred gasoline can in the attic.",
,,
lesson,# 37. Bathtub Blues ,
,,
disorderly ,"# ( formal ) showing lack of control; publicly violation or noise != opposite of orderly 
– > disorderly conduct 
– > They were arrested for being drunk and disorderly.
– > A middle-aged man with a long beard was arrested by the police for disorderly conduct and property damage.",
conduct,"# verb. AW. 1. [ conduct something ] to organize and / or do a particular activity
– > The negotiations have been conducted in a positive manner. 
# 4. ( formal ) to behave in a particular way
– > He conducted himself for better than expected. 
# noun.1. a person’s behavior in a particular place or in a particular situation 
– > The sport has a strict code of conduct.",
in advance,"# idiom: 1. before the time that is expected; before something happens 
– > a week / month / year in advance 
– > The rent is due on month in advance.
– > “Well, at least he paid in advance,” said the clerk.",
blues,"# ( often the blues ) a type of slow, sad music with strong rhythms, developed by African American musician in southern U.S.
– > a blues band / singer ",
motel,"# a hotel for people who are traveling by car, with space for parking cars near the rooms 
– > Then, Wild drove back to the motel.",
checker,"# US: a person who works at the checkout in a supermarket
– > The checker asked what the occasion was. He replied, “I am trying to become a sweeter person.”
– > The checker smiled at the joke.",
boom box,"# a large radio and CD player that can be carried around, especially  to play loud music in public
– > The he placed his boom box on the bathroom floor next to the tub.",
lodger,"# a person who pays rent to live in someone’s house
– > Fifteen minutes later, the lodgers in the room next door phoned the clerk. She banged on Wild door.",
clog,"# ( gg ) to block something or to become blocked
– > The bathtub drain was completely clogged
– > The sink is clogged.
– > Tears clogged her throat. ( note )",
nut,"# 1. a small hard fruit whit a very hard shell that grows on some trees
– > to crack a nut ( = open in )
# 4. ( informal )( in compounds ) a person who is extremely interested in a particular subject, activity, etc
– > a fitness / tennis / computer , etc nut
– > Who would have thought he was a bathtub-singing nut?",
,,
lesson,# 38. Blood Drive at Civic Center,
,,
civic center,"# a large building where public entertainments and meeting are held
– > Atlanta Civic Center
– > The local university blood center had a blood drive at the Civic Center auditorium.",
auditorium ,"# 1. the part of a theater; concert hall, etc n which that audience sits
# 2. US: a large building or room in which public meeting, concern, etc are held",
conclude,"# verb. AW. ( not used in the progressive tenses ) to decide or believe something as a result of what you have heard or seen
– > What do you conclude of that?
# 2. ( formal ) to come to the end; to bring something to an end
– > The program concluded with Stravinsky’s “Rite of Spring.”
– > He concluded by wishing everyone a safe trip home.
– > The event concluded at 6 p.m., three hours after the scheduled close.",
screen,"# verb. 1. to hide or protect something/someone by placing something in front of or around them | synonym: shield 
# 3. to examine people in order to find out if they have a particular disease or illness
– > Men over 55 should regularly screened for prostate caner.
– > The first thing the donors had to do, of course, was fill out the donor registration and screening form.",
pint,"# a unit of measuring liquids and some dry goods, equal to 0.473 of liter
– > a pint of milk
– > The average adult body contains 8 to 12 pints of blood.",
strenuous,"# needing great effort and energy | synonym: arduous 
– > a strenuous climb 
– > Do not do any strenuous activity for 24 hours.",
recruit,"# to find new people to join a company, an organization, the armed forces, etc
# recruiter: someone who does this job
– > “I wish I could hug and kiss all the volunteers that are here today,” said Martha, the blood center donor recruiter.",
recipient,"# [ C ] ( formal ) a person who receive something
– > We cannot thank them enough for that, nor the recipients.",
,,
lesson,# 39. City Hosts 42nd Art Fair ,
,,
memorial,"# noun. a status, stone, etc, that is built in order to remind people of an important past event or of a famous person who has died
– > a war memorial 
# adjective: a thing that will be continue to remind people of someone or something
– > The painting will be a lasting memorial to a remarkable woman.
– > The three-day event was held, as usual, at Memorial Park.",
stroll,"# verb. to walk somewhere in a slow relaxed way
# noun. a slow relaxed way
– > More than 1,000 locals and visitors strolled through the shady park daily.",
host,"# verb. to organize an event to which others are invited and make all the arrangement for them
– > San Diego hosted the American’s Cup regatta in 1995.
– > The Fernwood Library hosts 42nd art fire.",
village,"# a very small town located in a country area
# help: Do not use village to talk about small towns in the US. In NAmE village is used for a small place in another country that seems more old-fashioned that a town is the US.
– > Oscar, a native of Peru, was selling his beautiful paintings of the mountain village of Ayacucho.",
southwest,"# noun form; ( abbreviation: S.W or SW ) the direction or region at an equal distance between south and west
– > Peter is a photographer. He travels throughout the southwest US.
# adjective and adverb form: south-west",
northeast,"# noun form: ( abbreviation: N.E or NE ) the direction or region at an equal distance between north and east
– > One of his favorite areas is northeast Arizona. 
# adjective and adverb form: north-east.",
towering,"# adjective: 1. extremely tall or high and therefore impressive 
– > towering cliffs 
– > He points to a beautiful color photograph of a towering sandstone spirea about 800 feet high.",
sandstone,"# a type of stone that is formed of grains of sand tightly pressed together, sued in building",
spire,"# noun. a tall pointed structure on the top of a building, especially a chruch
– > a magnificent of view of the spires of the city",
goddess,# 1. a female god,
revere,"# ( formal ) to feel great respect or admiration for someone or something | synonym: idolize 
– > Her name is revered is Mexico. ",
tribe,"# a group of people consisting of families that are related to each other and who have the same customs, language, religion, etc and often lives in a particular area
– > This rock, according to a Navajo Indian lore, was the home of Spider Woman, a goddess revered by the tribe.",
lore,"# noun. knowledge and information related to a particular subject, especially when this is not written down; the stories and traditions of a particular group of people
– > traditional Hawaiian lore",
Navajo ,"# noun. a member of the largest group of Native American people, most of whom live in the states of Arizona, New Mexico, and Utah. ",
rug,"# 1. piece of thick material like a small carpet that is used for covering or decorating part of a floor
– > an original rug",
weave,"# to make cloth, a carpet, a blanket, etc by crossing threads or strips across, over and under each other by hand or on machine called loom
– > A Navajo woman was selling her own rug weavings at the fair.",
slight,"# adjective: ( slighter, slightest ) 1. very small in degree
– > I woke up with a slight headache.
– > The damage was slight.",
flaw,"# noun. 1. a mistake in something that means that is not correct or does not work correctly | synonym: defect , fault
– The argument is full of fundamental flaws",
offend,"# verb. 1. to make someone feel upset because of something you say or do that is rude or embarrassing 
– > They will be offended if you do not go to their wedding.
– > Neil did not mean to offend anyone with his joke.
# 3. to commit a crime or crimes
– > He started offending at the age of 16.
# 4. (formal) to be against what people believe is morally right
– > comments that offend against people’s religious beliefs 
– > She said that Navajo tradition was to always weave a slight flaw into an article so as not to offend Spider Woman, because only the Spider Woman could create a perfect weave.",
ceramic,"# a pot or other object made of clay that has been made permanently hard by heat
– > an exhibition of ceramics by Picasso",
gourd,# noun. a type of large fruit with hard skin and soft flesh. Grounds are often dried and used as containers,
sculpture,"# noun. a work o art that is a solid figure or object made by carving or shaping wood, stone, clay, metal, etc
– > He collect modern sculpture.
– > Artists’ creations included jewelery, ceramics, bird houses, gourd art, furniture, pottery, handmade musical instruments, music CDs, and sculpture.",
beneath,"# (formal) preposition. in or to a lower position than something or someone; under someone or something
– > They found the body buried beneath a pile of leaves. ",
canopy,"# ( plural: canopies ) 1. a cover that is fixed or hangs above bed, seat, etc as a shelter or decoration 
– > Almost all the artists had their work displayed beneath shady canopies. ",
,,
NEW WEEK,# Ninth,
lesson,# 40. City and Crime,
,,
citizen,"# Key. Noun. 1. person who has the legal right to belong to a particular country
– > She is Italian by birth but is now a United States citizen. ",
gang,"# an organization group of criminals 
– > criminal gang members and drug dealers
– > a gang of pickpockets
– > An armed gang robbed the bank.
– > Clio has a population of 28,000 but is has at least 30 gangs.",
commit,"# verb. AW. 1. to do something wrong or illegal 
– > to commit murder / battery / rape , etc
– > They also commit violent crimes, such as murder, battery, and rape.",
battery,# (law) to crime of attacking someone physically ,
rape,"# ( not confusing with rope ) 1. the crime of forcing someone to have sex with you, especially using violence 
– > He was charged with rape",
rapist,# a person who rapes someone ,
gunpoint,"# idiom: at gunpoint: which threatening someone or being threatened with a gun
– > The driver was robbed at gunpoint.
– > Thieves also robbed the people at gunpoint or pickpocketed them.",
beam,"# verb. 1. have a big happy smile on you face
– > A car with its high beams on
– > His broad face beamed a hearty welcome. 
– > “That is 50-percent decrease in one year,” beam Gates.",
fiscal,"# adjective. connected with government or public money, especially taxes 
– > the country fiscal system",
fiscal year,"# ( also tax year ). noun. a period of twelve months over which the accounts and taxes of a company or a person are calculated. 
– > Even better, maybe they will get that 10-percent raise that they are all hoping for next fiscal year.",
cite,"# verb. formal. AW. 1. to mention something as a reason or an example, or in order to support what you are saying
– > She citing her heavy workload as the reason for her breakdown.
– > Citing an example of how the police force has helped reduce crime, Gates talked about bicycle thefts.",
wrack,# (=rack),
rack,"# noun. 1. a piece of equipment, usually made of metal or wooden bars, that is used for holding things or for hanging things on
– > a wine / plate / magazine rack
# verb. 1. to make someone suffer great physical or mental pain
– > Her face was racked with pain.
# idiom: rack your brain(s): to think very hard or for a long time about something
– > She racked her brains, trying to remember exactly what she had said.
– > We wracked our brains trying to find a solution to this problem. ",
upon,"# preposition. formal. 1. = on
– > The decision was based upon two considerations.
# help: Although the word upon has the same meaning as on, it is usually used in more formal contexts or in phrases such as: once upon a time",
hit on/upon sth,"# to think of a good idea suddenly or by chance
– > She hit upon the prefect title for her new novel.
– > Finally, at the beginning of the last year, we hit upon it.",
part and parcel,"# part and parcel of something: an essential part of something
– > Keeping the accounts is part and parcel of my job.
– > These problems are part and parcel of civilization everywhere.",
parcel,# noun. 1. = package,
civilization,"# noun. 1. a state of human society that is very developed and organized
– > the technology of modern civilization ",
diminish,"# verb. AW. diminish( something ) to become or to make something become smaller, weaker, etc | synonym: decrease 
– > The world’s resources are rapidly diminishing.",
,,
lesson,# 41. Bank Robbery,
,,
grenade,"# ( hand-grenade ) a small bomb that can be thrown by hand or fired from a gun
– > rocket-propelled grenade 
– > The man walked up to the teller and held up a hand grenade for all to see and said …",
lobby,"# noun. 1. large area inside the entrance of a public building where people can meet and wait | synonym: foyer 
– > a hotel lobby
– > Everyone in the lobby screamed and started running, even the security guard.",
dye,"# a substance that is used to change the color of things such as clothes or hair
– > black dye
– > A second later, one of the money bags exploded, covering him with red dye.
# verb. to change the color of something, especially by using a special liquid or substance
– > to dye fabric ",
pace,"# verb. 1. to walk up and down in a small area many times, especially because you are feeling nervous or angry 
– > She paced up and down outside the room.
– > He yelled in pain and surprise, and started pacing around in circle.",
seal,"# /si:l/ { close envelope } to close an envelope, etc by sticking the edges of the opening together
– > Make sure to you have signed the check before sealing the envelope.
# ( of the police, army, etc ) to prevent people from passing through a place
# seal something off ( of police, army ) to prevent people form entering a particular area
– > Seeing the hand grenade on the sidewalk, the police told everyone to get back.
– >They sealed off the whole block and called the bomb squad.",
squad,"# a section of a police force that deals with a particular type of crime
– > the drug / fraud, etc squad ",
harmless,"# unable or unlikely to cause damage or harm
– > The bacteria is harmless to humans.",
unlikely,"# 1. not likely to happen
– > The project seemed unlikely to succeed.",
likely,"# 1. probably true or probably going to happen; expected 
– > the most likely outcome",
dummy,"# adjective: made to look real, although it is actually a copy which does not work | synonym: replica 
– > a dummy bomb",
,,
lesson,# 42. Immigration Goes Online,
,,
immigrate,"# verb. AW. immigrate( to… )( from… ): to come and live permanently in a country after leaving your own country
– > About 6.6 million people immigrated to the US in the 1970s.",
emigrate,"# verb. emigrate( from… )( to… ): to leave your own country to go and live permanently in another country 
– > The family left Iran in 1968 and emigrated to America. 
# emigration: the mess emigration of Jews from Eastern Europe",
immigrant,"# a person who has come to live permanently in a country that is not their own
– > immigration communities / families / workers 
– > illegal immigrants 
– > Thousands of immigrants who need to file papers related to immigration status, green cards, and resident cards no longer have to stand in line for hours on end.",
immigration,"# noun. AW. 1. the process of coming to live permanently in a country that is not your own; the member of people who do this
– > laws restriction immigration into the U.S. ",
file,"# verb. AW. 1.to put and keep documents, etc. in a particular place and in a particular order so that you can find them easily; to put a documents into a file
– > The form should be filed alphabetically.
# noun. 1. a box or folded piece of thick paper for helping loose papers together and in order
– > a hanging file
– > a stack of file awaited me on my desk.",
status,"# noun. AW. 1. the legal position of  a person, group or country 
– > The party was denied legal status. ???",
green card,# a document that legally allows someone from another country to live and work in the U.S.,
permanent resident card,# an official card that  shows that someone from another country is allowed to  live and work in Canada.,
on end,"# idiom: 1. a vertical position
– > It will fit if you stand it on end.
# 2. for the stated length of time, without stopping
– > He would disappear for weeks on end.",
applicant,"# noun. a person who makes a formal request for something ( = applies for it ). for job, admission to ( = permission to enter ) a collage or university, etc
– > There were over 500 applicants for the job.",
occasionally,"# sometime but not often 
– > We occasionally meet for a drink after work.",
fear,"# noun. the bad feeling that you have when  you are in danger, when something bed might happen, or when a particular thing frightens you
– > Her eyes showed no fear.
# verb: to be frightened of someone or something, or frightened of doing something
– > All his employees fear him.
– > Everyone feared the coming war.",
,,
lesson,# 43. Jimmy Fixes His Door,
,,
deadbolt,"# ( BrE: deadlock ) a type of lock on a door that needs a key to open or close
– > His front door has two locks – a security deadbolt, and a regular door handle lock.",
peephole,"# a small opening in a wall, door, etc that you can look through 
– > The front door also has a peephole – a tiny piece of glass through which Jimmy can look out his door at about eye-level to ‘preview’ who knocking on this door.",
eager,"# very interested and excited by something that is going to happen or about something that you what to do
– > eager crowds outside the stadium 
– > She is eager for (= wants very much to get ) her parents’ approval.
– > Jimmy is always eager to greet a visitor.",
from day one,"# ( informal ) form the beginning
– > It is never worked from day one.
– > This has bothered Jimmy from day one.",
loosen,"# verb: to make something less tight or firmly fixed; to become less tight or firmly fixed | synonym: slacken 
– > First loosen the nuts, then take off the wheels.
– > Jimmy got a flathead screwdriver and loosened both screws.",
tighten,"# verb: to become or to make something become tight or tighter | opposite: loosen 
– > The rope holding the boat suddenly tightened and broke.
– > Hi inserted the plastic between the handle and the doorframe itself, and then he tightened the two screws.",
lever,"# a handle used to operate a vehicle or piece of machinery 
– > Pull the lever towards you to display the speed
– > Eventually he adjusted the screws enough to where the lever stayed in the  locked position when he pushing on the outside button.",
spacer,"# ???
– > But now he needed to put a spacer on the inside handle to maintain that adjustment.",
thickness,"# the size of the between opposite surfaces or side | synonym: width 
– > Use wood of at least 5 in. thickness. 
– > He found a piece of plastic that was just the right thickness.",
grin,"# ( nn ) to smile widely 
– > The grinned with delight when they heard our news. 
– > Jimmy grinned.",
proper,"# adjective: right, appropriate, or correct; according to the rules
– > We should have a proper discussion before voting.",
properly,"# in a way that is correct and / or appropriate != improperly 
– > The screen door finally worked properly.",
ecstatic,"# very happy; excited and enthusiasm feeling or showing great enthusiasm == delighted 
– > Sally was ecstatic about her new job.
– > Jimmy had fixed a two-year old problem in less than an hour. He was ecstatic. ",
genius,"# unusually great intelligence, skill, or artistic ability
– > the genius of Shakespeare
– > He returned the screwdriver to the box, thinking: “I am a genius.”",
,,
lesson,# 44. Larry Needs a New Air-Conditioner,
,,
thermometer,"#  an instrument used for measuring the temperature of the air, a person’s body, etc
– > a thermometer reading
– > … according to Larry’s thermometer in the living room the degree is 87.",
consecutively,"# During one month the previous summer, he had used the air-conditioner 10 days consecutively, day and night.",
thermostat,"# a device that measure and control the temperature of a machine or room, by switching the heating or cooling system on an off as necessary
– > He set the thermostat to 72 degrees.",
capacitor ,"# a device used to store an electric charge 
– > It was the AC capacitor on the roof; it had blown up.",
capacity,"# [of container] the number of things or people that a container or space can hold
– > The theater has a seating capacity of 2,000.",
blown,"# verb#3 of blow, the verb#2 is blew
# 1. [form mouth] to send out air from the mouht
– > You are not blowing hard enough.
# 8. [electricity] if a fuse (= a thin wire) blows or you blow fuse, the electricity stops flowing suddenly because the fuse has melted because the current was too strong.
# idiom: blow up: to explode; to be destroyed by an explosion
– > The bomb blew up.
– > A police officer was killed when his car blew up.",
explode thesaurus ,"# blow up | go off | burst | erupt | detonate >> all used when something bursts apart violently, causing damage or injury 
# explode: to burst loudly and violently; casing damage; to make something burst in this way
– > The bomb was exploded under controlled conditions.
# blow up ( somewhat informal ) to be destroyed by an explosion; to destroy something by an explosion
– > A police officer was killed when her car blew up.
# go off: ( of a bomb ) to explode; ( of a gun ) to be fire
– > The bomb went off in a crowded street.
# burst: to break open or apart, especially because of pressure from inside; to make something break in this way
– > a water pipe burst and flooded the kitchen.
# erupt: ( of a volcano ) to throw out burning rocks or smoke; to be thrown out of a volcano
– > Mount St. Helens erupted in 1980.
# detonate ( somewhat formal ) ( of a bomb ) to explode; to make a bomb explode
– > Two other people failed to detonate",
circuit,"# noun. 1. a line, route, or trip around a place
– > The race ended with eight laps of a downtown circuit.
# the complete path of wires and equipment along which an electric current flows
– > an electrical circuit",
breaker,# noun. a large wave covered with white bubble that is moving toward land,
circuit-breaker,"# a device that can automatically stop an current if it becomes dangerous 
– > Two circuit breakers had switched off, so he switched them back on",
current,"# noun. 1. the movement of water in the ocean or a river; the movement of air in a particular direction 
– > He swam to the shore against a strong current.
# 2. the flow of electricity through a wire, etc
– > a 15 amp electricity current",
kick the bucket,"# informal: to die
– > All the other original AC units have been replaced. Yours lasted longest, but now it is kick the bucket.",
labor,"# noun. 1 {work}: work, especially physical work
– > manual labor (= working using your hands )",
,,
WEEK 10,,
lesson,# 45. Man Get 10 Years for Fraud,
,,
fraud,"# the crime of cheating someone in order to get money or goods illegally 
– > She was charged with credit card fraud.
– > A federal judge sentenced Bruce Jones to 12 years in federal prison for fraud.",
swindle,"# to cheat someone in order to get their something; especially money, from them
– > They swindled him out of hundreds of dollars. 
– > Jones, had managed to swindle almost $10 million from thousands gullible people throughout the state.
",
gullible ,"# too wiling to believe or accept what other people tell and therefore easily tricked | synonym: naive
– > The advertisement is aimed at gullible young woman worried about their weight. ",
advertise,"# to tell the public about a product or a service in order to encourage them to buy or to use it
– > If you want to attract more customers, try advertising in the local paper.
– > He advertised his fantastic ideas on TV.",
total,"# adjective: 2. including everything | synonym: complete 
– > The room was in total darkness.
– > Even though you are a total stranger to the viewer, one they see you on TV in their home, they feel like they know you.",
break the ice,"# idiom: to say tor do something that makes people feel more relaxed, especially at the beginning or a meeting, party, etc
– > Jim organized a few party game to break the ice when people first arrived. ",
quit,"# verb. informal. 2. to stop doing something
– > He have quit smoking.
– > Jones had a imagination that would not quit.",
collapse,"# ( of building ) to fall down or fall in suddenly often after breaking apart
– > The roof collapsed under the weight of snow.
",
insure,"# to buy insurance so that you will receive money if your property, car, etc gets damaged or stolen, or if you get sick or die
– > The painting is insured for $1 million.
– > …, Jones would insure your house and property for full value.",
shuttle,"# a plane, bus, or train that travels regularly between two place
– > a shuttle service between the airport and the downtown area",
space shuttle,"# a spacecraft designed to be use, for example, for traveling between the earth and a space station 
– > You would also be able to charge government rockets, satellites, space shuttles, and space station $100 for each and every violation of your air rights.",
calorie,"# ( plural: calories ) a unit for measuring how much energy food will produce
– > A fried egg contains about 100 calories.
– > Jones claimed to have invented a product that get rid of calories. ",
evaporate,"# 1. if a liquid evaporate or if something evaporates it, it changes into a gas, especially steam
– > Heat until all the water has evaporated.
– > a chemical interaction would cause all the calories in the food to simply evaporate within about 10 seconds. ",
ashamed,"# adjective: 1 feeling shame or embarrassment about someone or something or because of something you have done
– > She was deeply ashamed of her behavior at the party.",
consult,"# verb. AW. 1 to go to someone for information or advice 
– > If the pain continues, consult your doctor. 
– > Have you consulted your lawyer about this?",
talk thesaurus ,"# discuss | speak | communicate | debate | consult 
# talk: to speak in order to give information, express feeling, or share ideas
– > We talked on the phone for over an hour
# discuss ( somewhat formal ) to talk and share ideas on a subject or problem with other people, especially in order to decide something
– > Have you discussed about this with anyone?
# speak: to talk to someone about something; to have a conversation with someone
– > I have spoken to the manager about it.
# communicate: ( somewhat formal ) to exchange information or ideas with someone
– > We only communicate by e-mail.
# debate: to discuss something, especially formally, before making a decision or finding a solution 
– > Politicians will be debating the bill later this week.
# consult: ( somewhat formal ) to discuss something with someone in order to get their permission for something, or to help you make a decision 
– > You should not have changed you plans without consulting me.",
scam,"# noun. informal: a dishonest plan for making money
– > an insurance scam
# verb. ( mm ) informal: to trick someone into given you money
– > a guy that scams the elderly out of their saving 
# see crime or word collection 
– > TV consultant to help people avoid getting scammed",
consultant,"# a person who knows a lot about a particular subject and is employed to give advice about it to other people 
– > a management consultant",
instructional,"# formal. that teaches people something ( adjective )
– > instructional materials",
mere,"# 1 used when you want to emphasize how small, unimportant, etc someone or something is 
– > It took her a mere 20 minutes to win.",
merely,"# adverb: used meaning “only” or “simply” to emphasize a fact or something that you are saying
– > It is not merely a job, but a way of life.
– > He told the judge that he was already developing an instructional CD that for merely $100, would save  people thousands of dollars in sames.",
,,
lesson,# 46. Man Shoots Up Post Office,
,,
shotgun,"# a long gun that fires a lot of small metal bullets ( called shot ) and used especially shooting birds or animals 
– > A 36-year-old man stormed into the Ramona post office yelling at everyone to get out of his way. Carrying a shotgun, he climbed up onto the countertop.",
countertop,# = counter ,
round,"# adjetive: ( rounder, roundest ) 1. shaped like a circle or a ball
– > a round plate
# noun. { state in Process }: a set of events that form part of a longer process
– > the next round of peace talks 
# 10. a single shot from a gun; a bullet fro one shot
– > They fired several rounds at the crowd.
# verb: to go around a corner of a building, a bend in the road, etc
– > The boat rounded the tip of the island .
# adverb: = around
– > The dancers went round and round.",
plaster,"# 1. a substance made of lime, water, and sand that is part on walls and ceiling to give them a smooth hard surface
– > an old house with crumbing plaster and leaking roof
– > Plaster splattered onto the floor and customers.",
splat,"# noun. informal: the sound made by something wet hitting a surface with force
– > The tomato hit the all with a splat",
splatter,"# verb. ( of large drops of liquid ) to fall or hit something noisily 
– > Heavy rain splattered on the floor",
bullhorn,"# a electric device shaped like a horn, with a microphone at one end that you speak into in order to make you voice louder so that is can be heard at a distance 
– > Using a bullhorn, a police officer, told the man to walk out backwards with his hands up.",
blast,"# noun. 1. { explosion } an explosion or a powerful movement of air caused by an explosion 
– > a bomb blast
– > The man fired another blast out the shattered window.",
pit,"# noun. 1. { deep hole }
# 2. { in skin } a small shallow hole in the surface of something, especially a mark left on the surface of the skin by some disease such as chicken pox
– > The police officer and his bullhorn was uninjured. However, one police car had three little pit marks in it.",
settle,"# verb. { end argument } [settle something] to put an end to an argument or a disagreement 
– > I want this thing settled.",
trial,"# ( not confusing with trail: a long line or series of marks that is left by someone or something )
# a trail of blood
# { law } a formal examination of evidence in court by a judge and often a jury, to decide if someone accused or crime is guilty or not
– > a murder trial 
– > I guess  he got tired of waiting for the trial to begin. ",
stunt,"# 1. dangerous and difficult action that someone does to entertain people, especially as a part of film/movie
– > He will probably go to jail for a few years because of this stunt. 
– > a stunt pilot ",
,,
lesson,# 47. Murals Are Over $200 Years Old,
